MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	0.024414063	s	12/20/2021 1:28:28 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
0.0234375	0.044629008	-14.999408	-0.0092385598	-0.0019861239

Data Acquisition						Time:	9.9726563	s	12/20/2021 1:28:38 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
9.96875	0.16123442	-14.901484	-0.0086745555	-0.0014930069

Data Acquisition						Time:	19.922852	s	12/20/2021 1:28:48 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
19.914063	0.8511827	-14.800353	-0.006022858	0.0011443209

Data Acquisition						Time:	29.871094	s	12/20/2021 1:28:58 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
29.867188	3.0515506	-14.702803	0.0028828855	0.010633003

Data Acquisition						Time:	39.822266	s	12/20/2021 1:29:08 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
39.817383	6.6226106	-14.601138	0.017074121	0.026814213

Data Acquisition						Time:	49.767578	s	12/20/2021 1:29:18 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
49.765625	11.021531	-14.502711	0.036778949	0.048519649

Data Acquisition						Time:	59.714844	s	12/20/2021 1:29:28 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
59.710938	14.401977	-14.403619	0.070882507	0.084855892

Data Acquisition						Time:	69.65918	s	12/20/2021 1:29:38 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
69.658203	15.60518	-14.302927	0.12675913	0.14562461

Data Acquisition						Time:	79.597656	s	12/20/2021 1:29:48 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
79.59375	15.846136	-14.206221	0.18920541	0.21914625

Data Acquisition						Time:	89.542969	s	12/20/2021 1:29:58 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
89.539063	16.096825	-14.105694	0.24807759	0.28876218

Data Acquisition						Time:	99.484375	s	12/20/2021 1:30:08 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
99.480469	16.279097	-14.007516	0.30931449	0.36081839

Data Acquisition						Time:	109.43359	s	12/20/2021 1:30:17 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
