MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	15.021484	s	12/20/2021 1:28:43 PM
Time	ESH B Force	ESH B Displacement	Analog In 2	Analog In 1
s	kN	mm	V	V
0.03515625	0.038099226	-14.999986	-0.0019603535	-0.0091683324
0.049804688	0.052268296	-14.999296	-0.0020057326	-0.0093713654
0.064453125	0.047421437	-14.999416	-0.0020510955	-0.0094945151
0.079101563	0.0318719	-14.999597	-0.0020001575	-0.0094412006
0.09375	0.055050656	-14.998855	-0.0019988315	-0.0095114857
0.10839844	0.040848013	-15.000065	-0.0019794735	-0.0093274433
0.12304688	0.034919526	-14.999092	-0.0019477686	-0.0092298901
0.13769531	0.0594716	-14.999178	-0.0019965454	-0.0094187669
0.15234375	0.040327869	-14.998439	-0.0019991933	-0.0096548982
0.16699219	0.039650891	-14.998494	-0.0020356649	-0.0095197428
0.18164063	0.053304497	-14.999111	-0.0019491196	-0.0092034703
0.19628906	0.038711291	-14.998224	-0.0019773126	-0.0091960495
0.2109375	0.04707884	-14.998887	-0.0019994408	-0.0095098941
0.22558594	0.044347212	-14.997977	-0.0020292981	-0.0096562179
0.24023438	0.037870027	-14.998202	-0.0019812284	-0.0094202729
0.25488281	0.055273023	-14.9969	-0.0019771005	-0.0091909925
0.26953125	0.040640607	-14.997713	-0.0020019223	-0.0093499683
0.28417969	0.040019203	-14.99793	-0.0020067636	-0.0094322246
0.29882813	0.058839396	-14.996539	-0.0019877378	-0.0094828485
0.31347656	0.033547524	-14.996871	-0.0020310548	-0.0095488895
0.328125	0.039832614	-14.996394	-0.0019748309	-0.009374476
0.34277344	0.054565754	-14.995893	-0.001981549	-0.0091895871
0.35742188	0.037309289	-14.996241	-0.0020362446	-0.0093842875
0.37207031	0.046520859	-14.996023	-0.0020417203	-0.0096037462
0.38671875	0.047277465	-14.996062	-0.0020224417	-0.0095250169
0.40136719	0.040758651	-14.99572	-0.0019102521	-0.0092222439
0.41601563	0.052731875	-14.99577	-0.0019493876	-0.0091849612
0.43066406	0.038244769	-14.996592	-0.0019898866	-0.0095028672
0.4453125	0.043648254	-15.000348	-0.002075545	-0.0096846195
0.45996094	0.054962672	-14.994547	-0.0020506929	-0.0094089694
0.47460938	0.031678956	-14.992227	-0.0019779589	-0.0093215629
0.48925781	0.053601254	-14.992669	-0.0020003649	-0.0093345428
0.50390625	0.053471427	-14.993598	-0.0020141965	-0.0093070036
0.51855469	0.03573285	-14.995955	-0.0020140097	-0.0094850874
0.53320313	0.051348172	-14.994985	-0.0020353319	-0.0096123414
0.54785156	0.044435441	-14.992992	-0.0020311747	-0.009403456
0.5625	0.039652381	-14.995281	-0.0019583609	-0.0092341295
0.57714844	0.052019414	-14.996481	-0.0020055422	-0.0092895571
0.59179688	0.038963202	-14.992083	-0.002029957	-0.0096153356
0.60644531	0.048720762	-14.991732	-0.0020307999	-0.0095933257
0.62109375	0.048666161	-14.992192	-0.0019652352	-0.0092911273
0.63574219	0.032747358	-14.992181	-0.0019514284	-0.0091621336
0.65039063	0.055982422	-14.991381	-0.0020047007	-0.0093610473
0.66503906	0.045895584	-14.992846	-0.0020204829	-0.0096494239
0.6796875	0.030564802	-14.992054	-0.0019997437	-0.0094903987
0.69433594	0.056442998	-14.991853	-0.0020244597	-0.0093901381
0.70898438	0.041734781	-14.991551	-0.0020093755	-0.0093236063
0.72363281	0.040653389	-14.99278	-0.001973029	-0.009226853
0.73828125	0.057528302	-14.991601	-0.0020075385	-0.0094453897
0.75292969	0.039621484	-14.99183	-0.0020775599	-0.0095770648
0.76757813	0.046529334	-14.993067	-0.0020238969	-0.0091030272
0.78222656	0.047211379	-14.992412	-0.001911887	-0.008893108
0.796875	0.038388714	-14.991885	-0.0019654732	-0.0089795459
0.81152344	0.056660902	-14.991572	-0.0020622727	-0.0093063358
0.82617188	0.041325502	-14.992598	-0.0020288071	-0.0096467752
0.84082031	0.038492918	-14.991467	-0.0019927579	-0.0091695208
0.85546875	0.059181202	-14.991448	-0.0019494623	-0.0088355625
0.87011719	0.038313836	-14.991326	-0.0020563384	-0.0090957703
0.88476563	0.041000679	-14.99086	-0.0020374558	-0.0092333835
0.89941406	0.053896818	-14.990542	-0.0020224992	-0.0092092464
0.9140625	0.036379155	-14.991164	-0.0020311347	-0.0091834832
0.92871094	0.044913713	-14.990719	-0.0019948408	-0.0090459557
0.94335938	0.049053721	-14.991015	-0.0019545075	-0.0089330943
0.95800781	0.042498969	-14.989347	-0.0019906948	-0.0091901198
0.97265625	0.052485771	-14.989821	-0.0020476195	-0.0093019921
0.98730469	0.039483055	-14.990321	-0.0020007454	-0.0091945976
1.0019531	0.044554666	-14.990001	-0.0019594431	-0.0088939117
1.0166016	0.057981495	-14.989899	-0.002003903	-0.008940055
1.03125	0.030880148	-14.99011	-0.0023313845	-0.0091155032
1.0458984	0.046542186	-14.989612	-0.0020406654	-0.0093995491
1.0605469	0.054684881	-14.989773	-0.0019651828	-0.0091172736
1.0751953	0.033142783	-14.989241	-0.0019587639	-0.0088563077
1.0898438	0.052719221	-14.989511	-0.002024868	-0.0090053575
1.1044922	0.049246434	-14.989321	-0.0020293528	-0.0091779558
1.1191406	0.037189007	-14.98899	-0.002014688	-0.0091700619
1.1337891	0.049249157	-14.988974	-0.0020698316	-0.009239384
1.1484375	0.035087783	-14.988926	-0.0020143457	-0.0090382872
1.1630859	0.048808374	-14.988443	-0.0019590603	-0.0089581786
1.1777344	0.051331621	-14.988554	-0.0020271654	-0.0091071259
1.1923828	0.030790729	-14.988857	-0.0020393473	-0.009321386
1.2070313	0.054531258	-14.988348	-0.0020352392	-0.0092075858
1.2216797	0.049765695	-14.989023	-0.0019422863	-0.008899454
1.2363281	0.033726525	-14.988741	-0.0019619479	-0.0088753253
1.2509766	0.054912869	-14.99877	-0.002024286	-0.0091705751
1.265625	0.049705811	-14.986867	-0.002047549	-0.0093636606
1.2802734	0.034959421	-14.98701	-0.0019801382	-0.0091448762
1.2949219	0.052717961	-14.986576	-0.0019577225	-0.00892983
1.3095703	0.044047978	-14.98539	-0.0020025221	-0.00901864
1.3242188	0.043365959	-14.985202	-0.0020105769	-0.0093499143
1.3388672	0.051286835	-14.984783	-0.0019901693	-0.0094932886
1.3535156	0.035348926	-14.985177	-0.0020514366	-0.0095706228
1.3681641	0.049812432	-14.98515	-0.002024092	-0.0090863267
1.3828125	0.045186196	-14.988157	-0.0019609553	-0.0088493973
