MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	0.022460938	s	12/17/2021 2:15:26 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
0.022460938	0.19106385	2.2892549	-0.012621395	-0.0044732536

Data Acquisition						Time:	9.9482422	s	12/17/2021 2:15:36 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
9.9482422	0.21306597	2.2976613	-0.012196023	-0.0044077523

Data Acquisition						Time:	19.87793	s	12/17/2021 2:15:45 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
19.87793	0.28570431	2.309386	-0.012220599	-0.0043996507

Data Acquisition						Time:	29.807617	s	12/17/2021 2:15:55 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
29.807617	0.3266772	2.3169165	-0.012684194	-0.0044896286

Data Acquisition						Time:	39.737305	s	12/17/2021 2:16:05 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
39.737305	0.39995325	2.3294876	-0.012215098	-0.0044476767

Data Acquisition						Time:	49.667969	s	12/17/2021 2:16:15 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
49.667969	0.4202252	2.3385673	-0.011952204	-0.0044230311

Data Acquisition						Time:	59.59668	s	12/17/2021 2:16:25 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
59.59668	0.46667504	2.3511906	-0.012372101	-0.00446556

Data Acquisition						Time:	69.526367	s	12/17/2021 2:16:35 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
69.526367	0.56523514	2.3584242	-0.011959957	-0.0044969218

Data Acquisition						Time:	79.456055	s	12/17/2021 2:16:45 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
79.456055	0.59901667	2.366363	-0.011670634	-0.0044514351

Data Acquisition						Time:	89.384766	s	12/17/2021 2:16:55 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
89.384766	0.78092068	2.379868	-0.011664981	-0.0045207646

Data Acquisition						Time:	99.31543	s	12/17/2021 2:17:05 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
99.31543	0.91487938	2.3881931	-0.011456861	-0.0044525964

Data Acquisition						Time:	109.24512	s	12/17/2021 2:17:15 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
109.24512	1.0569149	2.3993349	-0.010906872	-0.0043924274

Data Acquisition						Time:	119.1748	s	12/17/2021 2:17:25 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
119.1748	1.3779292	2.4025588	-0.011313827	-0.0043985359

Data Acquisition						Time:	129.10449	s	12/17/2021 2:17:35 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
129.10449	1.4388671	2.414752	-0.011037057	-0.0045151971

Data Acquisition						Time:	139.03711	s	12/17/2021 2:17:45 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
139.03711	1.7617834	2.42927	-0.010057277	-0.004383551

Data Acquisition						Time:	148.96875	s	12/17/2021 2:17:55 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
148.96875	1.9523931	2.4365566	-0.010003408	-0.0044199899

Data Acquisition						Time:	158.89746	s	12/17/2021 2:18:04 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
158.89746	2.4078758	2.4496014	-0.00921534	-0.0044451803

Data Acquisition						Time:	168.83105	s	12/17/2021 2:18:14 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
168.83008	2.7037666	2.4566197	-0.0089097042	-0.0045142192

Data Acquisition						Time:	178.76074	s	12/17/2021 2:18:24 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
178.76074	3.5122099	2.4674857	-0.0075928262	-0.0044396073

Data Acquisition						Time:	188.69141	s	12/17/2021 2:18:34 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
188.69141	3.8996174	2.4789755	-0.0065283361	-0.0044573043

Data Acquisition						Time:	198.61816	s	12/17/2021 2:18:44 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
198.61816	3.7187266	2.4855437	-0.0071995757	-0.0044396296

Data Acquisition						Time:	208.5498	s	12/17/2021 2:18:54 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
208.5498	4.561728	2.5014336	-0.0054443646	-0.0044011725

Data Acquisition						Time:	218.47949	s	12/17/2021 2:19:04 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
218.47949	4.8646574	2.5062971	-0.0050645117	-0.0044493298

Data Acquisition						Time:	228.40918	s	12/17/2021 2:19:14 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
228.40918	5.2506061	2.5194623	-0.0045979451	-0.004435786

Data Acquisition						Time:	238.33887	s	12/17/2021 2:19:24 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
238.33887	6.1453738	2.5281086	-0.0023624559	-0.0044352375

Data Acquisition						Time:	248.26855	s	12/17/2021 2:19:34 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
248.26855	6.1041341	2.5345137	-0.0024220552	-0.0044354699

Data Acquisition						Time:	258.19824	s	12/17/2021 2:19:44 PM
