MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	15.019531	s	12/17/2021 3:14:02 PM
Time	ESH B Force	ESH B Displacement	Analog In 2	Analog In 1
s	kN	mm	V	V
0.033203125	0.093727097	0.99959904	-0.0044465023	-0.011367653
0.047851563	0.077691019	0.99957788	-0.0045076078	-0.011896566
0.0625	0.091802694	0.99936575	-0.0045092739	-0.012064903
0.077148438	0.0895603	0.999951	-0.0045068432	-0.011965916
0.091796875	0.080913313	0.99964702	-0.0044215498	-0.011667222
0.10644531	0.097702809	0.99995935	-0.0044472306	-0.011676331
0.12109375	0.082049266	0.99895149	-0.0045077056	-0.011679154
0.13574219	0.083693609	1.0007064	-0.0044868216	-0.011843735
0.15039063	0.09714929	1.0005609	-0.0044654682	-0.011497328
0.16503906	0.081001975	1.0003181	-0.004428572	-0.011325725
0.1796875	0.089359723	1.0021858	-0.0044354154	-0.011517053
0.19433594	0.094967425	1.002528	-0.0044310912	-0.011587814
0.20898438	0.07914798	1.0014025	-0.0044470616	-0.011586148
0.22363281	0.095197655	1.000005	-0.0044725109	-0.011695693
0.23828125	0.087818623	0.99876577	-0.0044328878	-0.011501515
0.25292969	0.08545056	0.99470371	-0.0044187275	-0.011340123
0.26757813	0.10369679	0.99824685	-0.0044693649	-0.011545327
0.28222656	0.087918617	0.99928647	-0.0044942936	-0.011807002
0.296875	0.093501821	1.0059402	-0.0044973628	-0.011668438
0.31152344	0.10420229	0.99430668	-0.0044037318	-0.011359649
0.32617188	0.084940702	1.0029694	-0.0044313651	-0.011326233
0.34082031	0.092353165	1.005077	-0.0044480893	-0.011638608
0.35546875	0.091477789	1.0035418	-0.0045059253	-0.011825078
0.37011719	0.077418126	1.0005597	-0.0044939946	-0.011628777
0.38476563	0.095750466	0.99426889	-0.0044223438	-0.011398586
0.39941406	0.086169846	1.0000265	-0.0044614491	-0.011509168
0.4140625	0.087218098	1.0008591	-0.0044426005	-0.011500008
0.42871094	0.10142858	0.99832809	-0.0044480115	-0.011612887
0.44335938	0.084013402	1.0004451	-0.004523179	-0.011760545
0.45800781	0.093008116	0.99925417	-0.0044664792	-0.011523296
0.47265625	0.098874882	1.0008028	-0.0044157337	-0.011330262
0.48730469	0.082010068	0.99982041	-0.0044430005	-0.011458471
0.50195313	0.098375529	1.0000269	-0.0045456351	-0.011787866
0.51660156	0.092923276	1.0017648	-0.0045071919	-0.01175363
0.53125	0.086194873	0.99974543	-0.0044865599	-0.011383533
0.54589844	0.10290759	1.0002329	-0.004383618	-0.011272003
0.56054688	0.087818198	1.0015223	-0.0044734082	-0.011582053
0.57519531	0.08962623	1.0009768	-0.004526115	-0.011824649
0.58984375	0.10245443	0.99955976	-0.0044976911	-0.011611768
0.60449219	0.086013839	1.0006015	-0.0044607981	-0.011471974
0.61914063	0.096592501	1.0016687	-0.0044420171	-0.011493783
0.63378906	0.10206056	0.9976607	-0.0044762897	-0.011460735
0.6484375	0.090626076	1.0034201	-0.0044526821	-0.011643432
0.66308594	0.10686553	0.99436885	-0.0044997092	-0.011752898
0.67773438	0.098305911	1.0014735	-0.0044989735	-0.011599612
0.69238281	0.096532382	1.0063174	-0.0044134529	-0.011351169
0.70703125	0.10740215	0.99908823	-0.0044588409	-0.011440254
0.72167969	0.091154672	1.0004833	-0.0044945907	-0.011732108
0.73632813	0.098801702	1.0017951	-0.0044927774	-0.011783464
0.75097656	0.1069849	0.99957287	-0.0044187154	-0.011422925
0.765625	0.093481101	1.0061085	-0.0043934393	-0.011316352
0.78027344	0.10833625	0.99560738	-0.0044799503	-0.011594342
0.79492188	0.10606974	1.01029	-0.0045093908	-0.011794673
0.80957031	0.091940731	1.0088935	-0.0044295108	-0.011638813
0.82421875	0.10545532	1.0098447	-0.004471764	-0.011517693
0.83886719	0.087362863	1.008154	-0.0044792816	-0.011487108
0.85351563	0.0801441	1.0071491	-0.0044387551	-0.011390718
0.86816406	0.095550664	1.0049843	-0.0045172065	-0.011634869
0.8828125	0.07428886	1.0047137	-0.0045268456	-0.012109494
0.89746094	0.079631962	1.0039469	-0.0044726385	-0.011958196
0.91210938	0.08626014	1.0041503	-0.0044119726	-0.011362843
0.92675781	0.069053069	1.0026977	-0.0044558598	-0.011738074
0.94140625	0.082699865	1.0040245	-0.0044849855	-0.012071939
0.95605469	0.07712502	1.0032771	-0.0045314562	-0.012107375
0.97070313	0.069946811	1.0038301	-0.0044431351	-0.011764002
0.98535156	0.086877458	1.0022017	-0.0044271722	-0.011593353
1	0.069291487	1.0014054	-0.0044300808	-0.011844301
1.0146484	0.076461434	0.99993199	-0.0045100395	-0.011743739
1.0292969	0.085582159	0.99997735	-0.0044523338	-0.011641251
1.0439453	0.067911267	1.0000547	-0.0044482159	-0.011565814
1.0585938	0.083631516	0.99193656	-0.0044950647	-0.011492386
1.0732422	0.089054838	0.99922258	-0.0044167791	-0.01135629
1.0878906	0.076338641	0.99950767	-0.0044809324	-0.01160493
1.1025391	0.092467256	0.99848324	-0.0044904202	-0.011798531
