MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	0.021484375	s	12/20/2021 2:09:41 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
0.021484375	0.12173566	-15.002716	-0.011387106	-0.0040245308

Data Acquisition						Time:	9.9902344	s	12/20/2021 2:09:51 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
9.9785156	0.88644975	-14.900158	-0.0086412029	-0.001647235

Data Acquisition						Time:	19.9375	s	12/20/2021 2:10:01 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
19.933594	3.0880985	-14.801715	0.00026862454	0.008043021

Data Acquisition						Time:	29.878906	s	12/20/2021 2:10:11 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
29.875	6.6048446	-14.701581	0.014832081	0.024753634

Data Acquisition						Time:	39.84668	s	12/20/2021 2:10:21 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
39.837891	10.861502	-14.603068	0.033643305	0.046514388

Data Acquisition						Time:	49.791992	s	12/20/2021 2:10:30 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
49.789063	14.972157	-14.504244	0.06118314	0.073339097

Data Acquisition						Time:	59.739258	s	12/20/2021 2:10:40 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
59.738281	15.629693	-14.401299	0.1387492	0.11246882

Data Acquisition						Time:	69.704102	s	12/20/2021 2:10:50 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
69.689453	15.732449	-14.305094	0.21972446	0.17359184

Data Acquisition						Time:	79.648438	s	12/20/2021 2:11:00 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
79.644531	15.8235	-14.204047	0.28474712	0.25650641

Data Acquisition						Time:	89.59082	s	12/20/2021 2:11:10 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
89.585938	15.971357	-14.103046	0.34230292	0.33962473

Data Acquisition						Time:	99.546875	s	12/20/2021 2:11:20 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
99.545898	16.107058	-14.006371	0.39971843	0.40607113

Data Acquisition						Time:	109.49316	s	12/20/2021 2:11:30 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
109.48828	16.344101	-13.904694	0.46443373	0.47635823

Data Acquisition						Time:	119.43848	s	12/20/2021 2:11:40 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
119.4375	16.405043	-13.805595	0.54288977	0.55877846

Data Acquisition						Time:	129.39648	s	12/20/2021 2:11:50 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
129.38867	16.603516	-13.705191	0.59415209	0.61274695

Data Acquisition						Time:	139.34473	s	12/20/2021 2:12:00 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
139.34082	16.722872	-13.607679	0.65911341	0.67991936

Data Acquisition						Time:	149.28418	s	12/20/2021 2:12:10 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
149.28125	16.752308	-13.507502	0.72738165	0.74989349

Data Acquisition						Time:	159.25586	s	12/20/2021 2:12:20 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
159.24902	16.923185	-13.406756	0.79346061	0.81725824

Data Acquisition						Time:	169.21094	s	12/20/2021 2:12:30 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
169.20703	16.995827	-13.309484	0.85868466	0.88323641

Data Acquisition						Time:	179.16113	s	12/20/2021 2:12:40 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
