MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	15.019531	s	12/20/2021 2:09:56 PM
Time	ESH B Force	ESH B Displacement	Analog In 2	Analog In 1
s	kN	mm	V	V
0.033203125	0.12520167	-15.003197	-0.0041519343	-0.011786376
0.047851563	0.12623429	-15.003006	-0.0040425514	-0.011446598
0.0625	0.13888367	-15.003186	-0.0040546078	-0.011328449
0.077148438	0.12557672	-15.001728	-0.004109242	-0.011703578
0.091796875	0.13170202	-15.001043	-0.004158326	-0.011856945
0.10644531	0.1345101	-15.001385	-0.00409956	-0.011633746
0.12109375	0.12484758	-15.002151	-0.0041302429	-0.011448031
0.13574219	0.14131299	-15.002023	-0.0041362261	-0.011611126
0.15039063	0.13525115	-15.001541	-0.0040883515	-0.011532193
0.16503906	0.13101666	-15.000828	-0.0041031004	-0.011676037
0.1796875	0.14208975	-15.001255	-0.0041631968	-0.011818754
0.19433594	0.12965928	-15.000738	-0.0041244356	-0.011572818
0.20898438	0.13462174	-15.000852	-0.0040543051	-0.011365613
0.22363281	0.14425206	-15.000874	-0.0040697334	-0.01153065
0.23828125	0.1296794	-15.001167	-0.0041963295	-0.011826729
0.25292969	0.14175819	-15.001157	-0.0041378802	-0.011832114
0.26757813	0.1455849	-15.000294	-0.0040554227	-0.011493661
0.28222656	0.13400979	-15.000253	-0.0040429486	-0.011342516
0.296875	0.1499463	-14.999633	-0.0041329358	-0.011639172
0.31152344	0.14353648	-14.999886	-0.0041561071	-0.011864252
0.32617188	0.13746369	-15.000096	-0.0040879166	-0.011691902
0.34082031	0.15183999	-14.999704	-0.0040764827	-0.011584034
0.35546875	0.14128938	-14.998789	-0.0040718247	-0.011544534
0.37011719	0.1492236	-14.999207	-0.0040452108	-0.01148454
0.38476563	0.15781143	-14.99944	-0.0041088141	-0.011665254
0.39941406	0.14152814	-14.997862	-0.0041546747	-0.011834599
0.4140625	0.15473695	-14.998569	-0.0041001472	-0.011647991
0.42871094	0.15667991	-14.998867	-0.0040598684	-0.011338348
0.44335938	0.14771318	-14.997859	-0.0040919343	-0.011493232
0.45800781	0.16160919	-14.99874	-0.0041441838	-0.011795034
0.47265625	0.15533133	-14.998981	-0.0041692001	-0.011875109
0.48730469	0.15573592	-14.997808	-0.0040296144	-0.011550948
0.50195313	0.16753212	-14.998113	-0.0040881075	-0.0113438
0.51660156	0.1579539	-14.997517	-0.0040817736	-0.011609484
0.53125	0.16675138	-14.997536	-0.0041272687	-0.011762209
0.54589844	0.16696161	-14.997637	-0.0041105067	-0.01168068
0.56054688	0.1583202	-14.996834	-0.0041389833	-0.011653809
0.57519531	0.17302066	-14.997089	-0.0040796385	-0.011503952
0.58984375	0.1731177	-14.996412	-0.0040592286	-0.011412553
0.60449219	0.17088823	-14.996431	-0.0040882844	-0.011636436
0.61914063	0.18041171	-14.996244	-0.0041604443	-0.011822104
0.63378906	0.17101853	-14.99576	-0.0040865387	-0.011720256
