MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	15.019531	s	12/17/2021 12:40:02 PM
Time	ESH B Force	ESH B Displacement	Analog In 2	Analog In 1
s	kN	mm	V	V
0.033203125	0.10745221	0.99903572	-0.0045379465	-0.0033480043
0.047851563	0.12184516	0.99948597	-0.0045584333	-0.0034374944
0.0625	0.10408785	0.99947852	-0.0046341214	-0.0037604063
0.077148438	0.11427428	0.99972433	-0.0046250513	-0.0037652645
0.091796875	0.11735035	0.99976826	-0.0045732982	-0.0033897569
0.10644531	0.10151695	1.0003996	-0.0045880838	-0.0032678
0.12109375	0.119703	1.0004901	-0.0046461844	-0.0035631997
0.13574219	0.10955061	1.0001402	-0.0046399487	-0.0038044562
0.15039063	0.1019214	0.99999523	-0.0045869052	-0.0035988204
0.16503906	0.11900476	1.0002575	-0.0046093883	-0.0035578646
0.1796875	0.10318289	1.0006868	-0.0046325484	-0.0034846058
0.19433594	0.10677452	0.99964261	-0.0045791604	-0.0033846158
0.20898438	0.11854573	0.9993248	-0.0046041454	-0.0036238888
0.22363281	0.099241473	0.99964178	-0.0046773902	-0.0038192002
0.23828125	0.11223121	1.0000726	-0.0046206014	-0.0035996507
0.25292969	0.11237749	0.99947703	-0.0045706504	-0.0033250565
0.26757813	0.1004231	0.99994403	-0.0046377811	-0.0033498579
0.28222656	0.11661966	1.0002545	-0.0046365373	-0.0037251143
0.296875	0.1041388	0.99974984	-0.0046462733	-0.0038065589
0.31152344	0.10082154	0.99985164	-0.0046037324	-0.0034793608
0.32617188	0.11757968	0.99975181	-0.0046006222	-0.0032624742
0.34082031	0.096931428	0.9994691	-0.004614912	-0.0035196205
0.35546875	0.10445539	0.99918991	-0.0046412279	-0.0037261073
0.37011719	0.1134128	0.99974436	-0.0046370416	-0.0036533852
0.38476563	0.093743421	0.9996807	-0.0046056407	-0.003629202
0.39941406	0.10924133	0.99943215	-0.00460247	-0.0034387195
0.4140625	0.10774089	0.99917066	-0.0045313174	-0.0033370019
0.42871094	0.09709622	0.99952251	-0.0045981547	-0.0035591342
0.44335938	0.11338507	0.99893051	-0.0046794876	-0.0037821089
0.45800781	0.10080095	0.99939674	-0.0046204114	-0.0035994474
0.47265625	0.10329591	0.99922669	-0.0045203581	-0.0033784783
0.48730469	0.11383091	0.99912512	-0.004572174	-0.0033566505
0.50195313	0.094177641	0.99969345	-0.0046302653	-0.003691582
0.51660156	0.10935231	0.99930775	-0.0046492298	-0.0038220899
0.53125	0.11156118	0.99883491	-0.0045621875	-0.0034898669
0.54589844	0.09473151	0.99865568	-0.0045434157	-0.0033027148
0.56054688	0.11350378	0.99896127	-0.0045935381	-0.0034831068
0.57519531	0.10492896	0.99884987	-0.0046276995	-0.0036090426
0.58984375	0.098723166	0.99847347	-0.0046113804	-0.003622975
0.60449219	0.11674334	0.99887151	-0.0046513607	-0.0036812471
0.61914063	0.09779869	0.99874967	-0.0046092477	-0.003482952
0.63378906	0.10554676	0.99882662	-0.0045619728	-0.00331314
0.6484375	0.11274801	0.99918729	-0.0046320604	-0.0035668665
0.66308594	0.094918087	0.99836755	-0.0046312716	-0.0037866775
0.67773438	0.10935777	0.99865514	-0.0046239677	-0.003684801
0.69238281	0.1079737	0.99950916	-0.0045416709	-0.0033744846
0.70703125	0.095828861	0.9994961	-0.0045911381	-0.003326385
0.72167969	0.11018772	0.9995085	-0.0046335598	-0.0036641581
0.73632813	0.098050237	0.99897122	-0.0046726167	-0.0038436579
0.75097656	0.09498781	0.99862897	-0.0046026763	-0.0035337519
0.765625	0.11201457	0.99894965	-0.0045388942	-0.0033315858
0.78027344	0.093932226	0.99830014	-0.0046080644	-0.0035224014
0.79492188	0.10095484	0.99808556	-0.0046082572	-0.0035273123
