MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	0.022460938	s	12/17/2021 3:49:24 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
0.022460938	0.16551661	1.0004185	-0.012586792	-0.00443696

Data Acquisition						Time:	9.9511719	s	12/17/2021 3:49:34 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
9.9501953	0.25091153	1.0223907	-0.012162952	-0.0044614305

Data Acquisition						Time:	19.880859	s	12/17/2021 3:49:44 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
19.880859	0.35889632	1.0445718	-0.012101317	-0.0044851662

Data Acquisition						Time:	29.814453	s	12/17/2021 3:49:54 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
29.813477	0.54736346	1.0666779	-0.011388483	-0.0044586253

Data Acquisition						Time:	39.744141	s	12/17/2021 3:50:04 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
39.744141	1.1609336	1.0908161	-0.010264129	-0.0045227781

Data Acquisition						Time:	49.673828	s	12/17/2021 3:50:14 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
49.673828	1.6025391	1.1108865	-0.0088445581	-0.0044924589

Data Acquisition						Time:	59.606445	s	12/17/2021 3:50:24 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
59.605469	2.3384399	1.1340477	-0.0070284428	-0.0044510742

Data Acquisition						Time:	69.537109	s	12/17/2021 3:50:34 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
69.537109	3.1748986	1.1568166	-0.0050423015	-0.0044540199

Data Acquisition						Time:	79.466797	s	12/17/2021 3:50:44 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
79.466797	3.9786217	1.1786753	-0.0039966018	-0.0045424765

Data Acquisition						Time:	89.396484	s	12/17/2021 3:50:54 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
89.396484	4.9715452	1.2010304	-0.0016466787	-0.0045035859

Data Acquisition						Time:	99.326172	s	12/17/2021 3:51:03 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
99.326172	5.97893	1.2231519	0.00039701088	-0.0044849557

Data Acquisition						Time:	109.25586	s	12/17/2021 3:51:13 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
109.25586	7.1290498	1.2457203	0.0028199588	-0.0045094229

Data Acquisition						Time:	119.18555	s	12/17/2021 3:51:23 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
119.18555	8.6255608	1.2670987	0.0061076004	-0.0044642165

Data Acquisition						Time:	129.11523	s	12/17/2021 3:51:33 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
129.11523	9.6346369	1.2901362	0.0082738325	-0.0044861799

Data Acquisition						Time:	139.04492	s	12/17/2021 3:51:43 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
139.04492	11.022202	1.3130898	0.011449116	-0.0044670543

Data Acquisition						Time:	148.97461	s	12/17/2021 3:51:53 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
148.97461	12.315228	1.3355108	0.014668856	-0.0044592917

Data Acquisition						Time:	158.9043	s	12/17/2021 3:52:03 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
158.9043	13.966111	1.3587984	0.018510815	-0.0045121503

Data Acquisition						Time:	168.83398	s	12/17/2021 3:52:13 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
168.83398	14.627313	1.3765172	0.020412093	-0.0045340722

Data Acquisition						Time:	178.76367	s	12/17/2021 3:52:23 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
178.76367	15.803492	1.4034048	0.023901764	-0.0045536682

Data Acquisition						Time:	188.69336	s	12/17/2021 3:52:33 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
