MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	0.022460938	s	1/18/2022 2:37:46 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
0.022460938	0.052425791	-18.001011	0.0050990954	-0.12245408

Data Acquisition						Time:	9.9492188	s	1/18/2022 2:37:56 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
9.9492188	0.29006732	-17.901159	0.0058381287	-0.12158271

Data Acquisition						Time:	19.878906	s	1/18/2022 2:38:06 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
19.878906	1.1809523	-17.801723	0.0096463514	-0.11790101

Data Acquisition						Time:	29.808594	s	1/18/2022 2:38:16 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
29.808594	3.4240224	-17.702532	0.018869996	-0.10902987

Data Acquisition						Time:	39.738281	s	1/18/2022 2:38:26 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
39.738281	6.5955391	-17.601425	0.031870924	-0.095934436

Data Acquisition						Time:	49.667969	s	1/18/2022 2:38:36 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
49.667969	10.413746	-17.503895	0.048060883	-0.079164214

Data Acquisition						Time:	59.59668	s	1/18/2022 2:38:46 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
59.59668	14.009817	-17.40399	0.07241255	-0.053838599

Data Acquisition						Time:	69.527344	s	1/18/2022 2:38:56 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
69.527344	15.64046	-17.305309	0.11467024	-0.0085964212

Data Acquisition						Time:	79.457031	s	1/18/2022 2:39:06 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
79.457031	16.195177	-17.205875	0.16958819	0.049204536

Data Acquisition						Time:	89.386719	s	1/18/2022 2:39:16 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
89.386719	16.425091	-17.105759	0.23097861	0.11225306

Data Acquisition						Time:	99.321289	s	1/18/2022 2:39:26 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
99.320313	16.625431	-17.006809	0.29258353	0.17543046

Data Acquisition						Time:	109.25	s	1/18/2022 2:39:35 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
109.25	16.697495	-16.907778	0.35445228	0.23881555

Data Acquisition						Time:	119.17871	s	1/18/2022 2:39:45 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
119.17871	16.871174	-16.807692	0.41705686	0.30194974

Data Acquisition						Time:	129.10938	s	1/18/2022 2:39:55 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
129.10938	16.995777	-16.708942	0.47721329	0.36373016

Data Acquisition						Time:	139.03906	s	1/18/2022 2:40:05 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
139.03906	17.438791	-16.618137	0.54140884	0.42892799

Data Acquisition						Time:	148.96875	s	1/18/2022 2:40:15 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
148.96875	17.162712	-16.508387	0.60898411	0.49702045

Data Acquisition						Time:	158.90234	s	1/18/2022 2:40:25 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
158.90137	17.138924	-16.411203	0.66862231	0.55789101

Data Acquisition						Time:	168.83203	s	1/18/2022 2:40:35 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
168.83203	17.379837	-16.311253	0.73427463	0.62425667

Data Acquisition						Time:	178.76172	s	1/18/2022 2:40:45 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
178.76172	17.454882	-16.213799	0.7826308	0.67402452

Data Acquisition						Time:	188.69043	s	1/18/2022 2:40:55 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
188.69043	17.661674	-16.113243	0.84687781	0.74270689

Data Acquisition						Time:	198.62305	s	1/18/2022 2:41:05 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
198.62207	17.693428	-16.01543	0.89940125	0.79611588

Data Acquisition						Time:	208.55078	s	1/18/2022 2:41:15 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
208.55078	17.753391	-15.915439	0.97117484	0.86893046

Data Acquisition						Time:	218.48047	s	1/18/2022 2:41:25 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
218.48047	17.665545	-15.812096	1.0310332	0.93028259

Data Acquisition						Time:	228.41309	s	1/18/2022 2:41:35 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
228.41309	17.846107	-15.719371	1.0927088	0.99589401

Data Acquisition						Time:	238.34375	s	1/18/2022 2:41:45 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
238.34375	18.023005	-15.618506	1.1546234	1.0581325

Data Acquisition						Time:	248.27344	s	1/18/2022 2:41:54 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
248.27344	17.969505	-15.517089	1.2088659	1.1133876

Data Acquisition						Time:	258.20313	s	1/18/2022 2:42:04 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
258.20313	17.998438	-15.418911	1.2799126	1.1854913

Data Acquisition						Time:	268.13184	s	1/18/2022 2:42:14 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
268.13184	18.0945	-15.316672	1.3421692	1.2485123

Data Acquisition						Time:	278.0625	s	1/18/2022 2:42:24 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
278.0625	18.164553	-15.219196	1.3877381	1.2936869

Data Acquisition						Time:	287.99219	s	1/18/2022 2:42:34 PM
