MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	15.020508	s	1/18/2022 2:38:01 PM
Time	ESH B Force	ESH B Displacement	Analog In 2	Analog In 1
s	kN	mm	V	V
0.033203125	0.053681493	-18.000217	-0.1224744	0.0049934424
0.047851563	0.065926209	-17.999449	-0.12248293	0.0048380177
0.0625	0.056409232	-18.000477	-0.1224282	0.0051635411
0.077148438	0.056471456	-17.999922	-0.12240103	0.0052964226
0.091796875	0.065773539	-17.998919	-0.12240574	0.0051681893
0.10644531	0.054256201	-17.999399	-0.12246102	0.0048496947
0.12109375	0.061124377	-17.998829	-0.12244526	0.0048649674
0.13574219	0.062648363	-17.99947	-0.12239012	0.0052051349
0.15039063	0.052961696	-17.999414	-0.12242952	0.0053924597
0.16503906	0.066240273	-17.999088	-0.12244732	0.0050747399
0.1796875	0.058949366	-17.998652	-0.12245934	0.004848646
0.19433594	0.054380707	-17.997738	-0.12245604	0.0050407606
0.20898438	0.065115489	-17.997459	-0.12245151	0.0051714759
0.22363281	0.054966591	-17.996939	-0.12242537	0.0051685972
0.23828125	0.057277028	-17.997997	-0.12239282	0.0052966243
0.25292969	0.062663518	-17.997929	-0.12248336	0.004994147
0.26757813	0.053860273	-17.998428	-0.1224387	0.0048748674
0.28222656	0.062559769	-17.997999	-0.12241785	0.0053702043
0.296875	0.061245918	-17.998341	-0.12239334	0.0056181154
0.31152344	0.052391775	-17.998173	-0.12242611	0.0055519631
0.32617188	0.066745095	-17.997927	-0.12244348	0.0051692994
0.34082031	0.057741385	-17.998022	-0.122475	0.005160911
0.35546875	0.055076905	-17.99758	-0.12239924	0.0055104652
0.37011719	0.068040438	-17.997101	-0.12239939	0.0056661768
0.38476563	0.056126971	-17.996689	-0.12241697	0.0054107662
0.39941406	0.060694911	-17.996931	-0.12243143	0.0052412627
0.4140625	0.063044675	-17.997431	-0.122464	0.0052985493
0.42871094	0.055407759	-17.996281	-0.12245878	0.005346125
