MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	0.022460938	s	1/27/2022 11:35:51 AM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
0.022460938	0.37013897	4.0001655	-0.0021491514	-0.017062105

Data Acquisition						Time:	9.9472656	s	1/27/2022 11:36:01 AM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
9.9472656	0.58047807	4.0218105	-0.0018645234	-0.016713914

Data Acquisition						Time:	19.875977	s	1/27/2022 11:36:11 AM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
19.875977	0.87235546	4.0449882	-0.0023097717	-0.016141774

Data Acquisition						Time:	29.807617	s	1/27/2022 11:36:20 AM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
29.807617	1.3265754	4.0669842	-0.0021750687	-0.014937316

Data Acquisition						Time:	39.737305	s	1/27/2022 11:36:30 AM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
39.737305	1.8366126	4.0894232	-0.0023054162	-0.013804303

Data Acquisition						Time:	49.668945	s	1/27/2022 11:36:40 AM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
49.667969	2.3770859	4.1113524	-0.0024521628	-0.01247706

Data Acquisition						Time:	59.59668	s	1/27/2022 11:36:50 AM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
59.59668	2.9470928	4.1341925	-0.0025474094	-0.01105736

Data Acquisition						Time:	69.530273	s	1/27/2022 11:37:00 AM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
69.529297	3.6594906	4.156477	-0.0023561532	-0.0095687043

Data Acquisition						Time:	79.459961	s	1/27/2022 11:37:10 AM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
79.459961	4.3947997	4.1793041	-0.0024717641	-0.0076972088

Data Acquisition						Time:	89.389648	s	1/27/2022 11:37:20 AM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
89.389648	5.2108259	4.1994991	-0.0021850457	-0.0055128527

Data Acquisition						Time:	99.322266	s	1/27/2022 11:37:30 AM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
99.321289	5.8987908	4.223351	-0.0023057219	-0.0040422445

Data Acquisition						Time:	109.25293	s	1/27/2022 11:37:40 AM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
109.25293	6.8620658	4.2461214	-0.0020592907	-0.0015476116
