MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	15.020508	s	1/27/2022 11:36:06 AM
Time	ESH B Force	ESH B Displacement	Analog In 2	Analog In 1
s	kN	mm	V	V
0.033203125	0.36580101	3.9996781	-0.017023183	-0.002015034
0.047851563	0.35444224	3.9994678	-0.017051686	-0.0021400203
0.0625	0.36350378	4.000154	-0.017061468	-0.0023861839
0.077148438	0.36668688	4.000423	-0.01704728	-0.0021769209
0.091796875	0.35819659	3.9993639	-0.016987275	-0.00199632
0.10644531	0.36746752	3.9997642	-0.016952327	-0.0018802326
0.12109375	0.36181864	4.0006137	-0.017026853	-0.0020910217
0.13574219	0.35720003	4.0003376	-0.017071206	-0.0022409922
0.15039063	0.37375572	4.0001535	-0.017047292	-0.0021743225
0.16503906	0.35791788	4.0007524	-0.017282449	-0.0019250701
0.1796875	0.36361331	4.0006618	-0.017036859	-0.0018602224
0.19433594	0.37095496	3.9999936	-0.017085349	-0.0021635185
0.20898438	0.35720271	4.0002656	-0.017090345	-0.0022800632
0.22363281	0.37014243	4.0000196	-0.017041687	-0.0020565314
0.23828125	0.36988631	4.000412	-0.017022606	-0.0019300584
0.25292969	0.3535198	3.9999213	-0.017072726	-0.0020187467
0.26757813	0.37276089	4.0008283	-0.016995838	-0.0020405743
0.28222656	0.36472148	4.000937	-0.017049244	-0.0021538408
0.296875	0.36377236	4.0003214	-0.017087169	-0.002222287
0.31152344	0.3791621	4.0000882	-0.017029876	-0.0020157143
0.32617188	0.35852152	4.0011864	-0.016962986	-0.0018768702
0.34082031	0.3705734	4.0003648	-0.017052075	-0.0020567602
0.35546875	0.37407079	4.0009112	-0.017050829	-0.0022770229
0.37011719	0.35852477	4.0006032	-0.017034829	-0.0022306759
0.38476563	0.37332278	4.001441	-0.016995424	-0.0019162543
0.39941406	0.37064677	4.0007348	-0.016999204	-0.0018388473
0.4140625	0.36400348	4.0010047	-0.017054066	-0.0021109907
0.42871094	0.37758642	4.001431	-0.017075319	-0.0023078041
0.44335938	0.36928114	4.0006919	-0.016983356	-0.002119761
0.45800781	0.37000504	4.0005369	-0.017029826	-0.0019885357
0.47265625	0.37599635	4.001215	-0.017006874	-0.0020232431
0.48730469	0.36245087	4.0011654	-0.01699451	-0.0020244713
0.50195313	0.37283725	4.0014253	-0.017018698	-0.0021473081
0.51660156	0.37492472	4.001019	-0.017076274	-0.0022587907
0.53125	0.36309353	4.0007291	-0.01702334	-0.0020639864
0.54589844	0.37682337	4.0015659	-0.016976293	-0.0019038644
0.56054688	0.3706789	4.0013857	-0.016986784	-0.0019823799
0.57519531	0.36507207	4.0011959	-0.017078523	-0.0022909541
0.58984375	0.37989217	4.0010791	-0.017079577	-0.0022517238
0.60449219	0.36514011	4.0009694	-0.016999433	-0.002194111
0.61914063	0.3716554	4.0012136	-0.017027704	-0.0020780296
0.63378906	0.37589642	4.0013027	-0.01702266	-0.0023398737
0.6484375	0.36140183	4.0014157	-0.017068231	-0.0025262986
0.66308594	0.37978584	4.0010872	-0.017070822	-0.0023802759
0.67773438	0.37372482	4.0008264	-0.017045524	-0.0022930563
0.69238281	0.36214218	4.0015306	-0.017023046	-0.0022241413
0.70703125	0.37984514	4.0013814	-0.017025834	-0.0021500345
0.72167969	0.36541298	4.0007463	-0.017031727	-0.0023732048
0.73632813	0.36858284	4.0006366	-0.01711854	-0.0024562147
0.75097656	0.3797569	4.0017071	-0.01702214	-0.0021971562
0.765625	0.36512464	4.0011234	-0.016992919	-0.0018464396
0.78027344	0.37713853	4.0008168	-0.017022096	-0.0019534919
0.79492188	0.37680799	4.0008402	-0.017076077	-0.0022607369
0.80957031	0.36469558	4.0020294	-0.017038306	-0.0022964892
0.82421875	0.3803913	4.0010395	-0.016988115	-0.0020271172
0.83886719	0.37275058	4.0016446	-0.016985845	-0.0018295605
0.85351563	0.3645421	4.0019655	-0.017038818	-0.0020685981
0.86816406	0.38242155	4.001864	-0.017103331	-0.0021647655
0.8828125	0.37072623	4.001472	-0.017088071	-0.0021246527
0.89746094	0.37179539	4.0019708	-0.017032221	-0.0021214837
0.91210938	0.38260767	4.0017262	-0.017035916	-0.0020081275
0.92675781	0.36721495	4.0017753	-0.017009534	-0.0019046558
0.94140625	0.37560248	4.001534	-0.017080676	-0.0021220809
0.95605469	0.37594321	4.0025477	-0.017091798	-0.0022620843
0.97070313	0.36417538	4.0012488	-0.017058013	-0.0023538866
0.98535156	0.38179666	4.0020595	-0.016966768	-0.0021052521
1	0.3717525	4.0014668	-0.017012212	-0.00211856
1.0146484	0.37039775	4.0020547	-0.017065296	-0.0024499865
1.0292969	0.38296962	4.0016537	-0.01709279	-0.0025502129
1.0439453	0.36897326	4.0023127	-0.017006345	-0.0022548416
1.0585938	0.37637362	4.0018454	-0.017016798	-0.0021249992
1.0732422	0.37728745	4.0023222	-0.017054053	-0.0022659472
1.0878906	0.36554471	4.0019355	-0.01707558	-0.0023777997
1.1025391	0.38195974	4.0020585	-0.017077938	-0.0024142531
1.1171875	0.37588659	4.0021105	-0.017079212	-0.0024432968
1.1318359	0.37125695	4.0018978	-0.017033312	-0.002247764
1.1464844	0.38473025	4.0018568	-0.016999681	-0.0021219598
1.1611328	0.36843187	4.0020542	-0.01704861	-0.002260329
1.1757813	0.37303787	4.0025959	-0.017089147	-0.0025033168
1.1904297	0.38276744	4.002737	-0.017093189	-0.0024109941
1.2050781	0.36613858	4.0027723	-0.017030943	-0.0021170806
1.2197266	0.37863106	4.0023513	-0.017000901	-0.0021067467
1.234375	0.38128975	4.0022993	-0.017112762	-0.0024233027
1.2490234	0.36645868	4.0029912	-0.017048324	-0.0025690815
1.2636719	0.382384	4.0021052	-0.017031286	-0.0022941099
1.2783203	0.37462091	4.001833	-0.017027402	-0.0021325154
1.2929688	0.36898494	4.0023823	-0.017083578	-0.0022639812
1.3076172	0.38419315	4.0029249	-0.017010679	-0.0023306422
1.3222656	0.36847237	4.0027094	-0.017049462	-0.0023931814
1.3369141	0.37578118	4.0029006	-0.017068435	-0.0025007417
1.3515625	0.3877072	4.0023651	-0.0170232	-0.00225764
1.3662109	0.36595821	4.0022788	-0.017017294	-0.002138555
1.3808594	0.38011447	4.0027509	-0.017063793	-0.0022554202
