MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	0.022460938	s	1/19/2022 2:03:09 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
0.022460938	0.023877447	-20.01589	0.0058150156	-0.0698874

Data Acquisition						Time:	9.9472656	s	1/19/2022 2:03:19 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
9.9472656	0.025086991	-19.902048	0.0056131654	-0.069645584

Data Acquisition						Time:	19.875977	s	1/19/2022 2:03:29 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
19.875977	0.049796063	-19.801615	0.0057926802	-0.069255948

Data Acquisition						Time:	29.805664	s	1/19/2022 2:03:39 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
29.805664	0.33792415	-19.702436	0.006934341	-0.06785088

Data Acquisition						Time:	39.735352	s	1/19/2022 2:03:49 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
39.735352	1.4904759	-19.603273	0.011502071	-0.062906593

Data Acquisition						Time:	49.665039	s	1/19/2022 2:03:59 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
49.665039	4.0452738	-19.502481	0.021876415	-0.051959381

Data Acquisition						Time:	59.594727	s	1/19/2022 2:04:09 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
59.594727	7.2502527	-19.40456	0.035478666	-0.037243862

Data Acquisition						Time:	69.524414	s	1/19/2022 2:04:19 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
69.524414	11.184368	-19.304756	0.053623796	-0.018364282

Data Acquisition						Time:	79.454102	s	1/19/2022 2:04:29 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
79.454102	14.967125	-19.20561	0.07774505	0.0058950321

Data Acquisition						Time:	89.383789	s	1/19/2022 2:04:39 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
89.383789	15.963577	-19.106728	0.13523488	0.044673726

Data Acquisition						Time:	99.313477	s	1/19/2022 2:04:49 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
99.313477	16.041735	-19.007233	0.2102426	0.089610025

Data Acquisition						Time:	109.24316	s	1/19/2022 2:04:59 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
109.24316	16.161121	-18.907379	0.27955973	0.15189722

Data Acquisition						Time:	119.17285	s	1/19/2022 2:05:08 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
119.17285	16.269957	-18.807877	0.33547494	0.22130403

Data Acquisition						Time:	129.10156	s	1/19/2022 2:05:18 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
129.10156	16.36871	-18.709362	0.38301665	0.29084733

Data Acquisition						Time:	139.03613	s	1/19/2022 2:05:28 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
139.03516	16.492336	-18.6092	0.43456551	0.35672879

Data Acquisition						Time:	148.96582	s	1/19/2022 2:05:38 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
148.96582	16.633583	-18.510197	0.48984262	0.41893306

Data Acquisition						Time:	158.89551	s	1/19/2022 2:05:48 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
158.89551	16.554588	-18.411081	0.54953754	0.48158321

Data Acquisition						Time:	168.8291	s	1/19/2022 2:05:58 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
168.82813	16.819803	-18.312803	0.60418952	0.54043114

Data Acquisition						Time:	178.75977	s	1/19/2022 2:06:08 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
178.75977	16.9319	-18.212479	0.66317505	0.60111123

Data Acquisition						Time:	188.68848	s	1/19/2022 2:06:18 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
188.68848	17.071445	-18.112034	0.72106636	0.66060275

Data Acquisition						Time:	198.61621	s	1/19/2022 2:06:28 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
198.61621	17.130455	-18.013977	0.77960598	0.72074068

Data Acquisition						Time:	208.54785	s	1/19/2022 2:06:38 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
208.54785	17.221184	-17.915808	0.8381775	0.78074878

Data Acquisition						Time:	218.47754	s	1/19/2022 2:06:48 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
218.47754	17.273033	-17.815947	0.89572048	0.84078205

Data Acquisition						Time:	228.40723	s	1/19/2022 2:06:58 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
228.40723	17.338602	-17.714954	0.95591331	0.90133703

Data Acquisition						Time:	238.33691	s	1/19/2022 2:07:08 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
238.33691	17.407143	-17.615816	1.0153708	0.96083939

Data Acquisition						Time:	248.2666	s	1/19/2022 2:07:18 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
248.2666	17.423155	-17.51804	1.0760953	1.0220846

Data Acquisition						Time:	258.19629	s	1/19/2022 2:07:27 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
