MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	15.019531	s	1/19/2022 2:03:24 PM
Time	ESH B Force	ESH B Displacement	Analog In 2	Analog In 1
s	kN	mm	V	V
0.033203125	0.02639891	-19.999466	-0.069902644	0.0058886204
0.047851563	0.013360534	-19.998287	-0.069875672	0.005799572
0.0625	0.017569972	-19.999889	-0.069876879	0.0057636895
0.077148438	0.026759356	-19.998642	-0.069897935	0.0056298818
0.091796875	0.012510574	-19.999079	-0.069902413	0.0055820774
0.10644531	0.020467678	-19.999683	-0.069849491	0.0058106063
0.12109375	0.018524125	-19.999811	-0.069871537	0.0059579303
0.13574219	0.014171321	-19.999762	-0.069867007	0.0058061611
0.15039063	0.027767943	-20.00042	-0.069914147	0.0055159684
0.16503906	0.01351468	-20.000103	-0.069947653	0.0055902363
0.1796875	0.014111285	-20.000158	-0.06984935	0.0058914814
0.19433594	0.029420413	-19.999983	-0.069821939	0.0059980848
0.20898438	0.010415937	-20.000505	-0.069908634	0.0057162489
0.22363281	0.017480321	-19.999962	-0.069873914	0.0055240346
0.23828125	0.025888465	-19.999548	-0.069877155	0.0056634387
0.25292969	0.013698407	-19.999876	-0.069876194	0.0058011753
0.26757813	0.023284346	-20.000219	-0.069835156	0.0058006546
0.28222656	0.019375062	-19.99979	-0.069858052	0.0059315767
0.296875	0.017351111	-19.999657	-0.069851436	0.0056435722
0.31152344	0.026148967	-19.999222	-0.069905207	0.0055170855
0.32617188	0.010730991	-19.999041	-0.069884121	0.0057120644
0.34082031	0.019214652	-19.998909	-0.069848053	0.0059751635
0.35546875	0.027962124	-19.998383	-0.069867909	0.0058698803
0.37011719	0.0091771502	-19.998472	-0.069922626	0.0055346219
0.38476563	0.023326419	-19.999838	-0.069867566	0.0055391509
0.39941406	0.025857858	-19.998936	-0.069815077	0.0058127008
0.4140625	0.0094761858	-19.998928	-0.069813602	0.0059614237
0.42871094	0.024538826	-19.997717	-0.069898114	0.0057834801
0.44335938	0.018818295	-19.997585	-0.069925502	0.0055747312
0.45800781	0.014701964	-19.998354	-0.069900542	0.0056374855
0.47265625	0.024886722	-19.998138	-0.069890402	0.0056461096
0.48730469	0.01188362	-19.999077	-0.069859564	0.0058238031
0.50195313	0.020702289	-19.998453	-0.069849484	0.0059332931
0.51660156	0.02439091	-19.999348	-0.069901474	0.0056971451
0.53125	0.01014136	-19.999887	-0.069932751	0.0055475794
0.54589844	0.027321735	-19.998207	-0.069897123	0.0056342124
0.56054688	0.021120466	-19.998009	-0.069817916	0.0059193377
0.57519531	0.0097331721	-19.997765	-0.069531739	0.0059088995
0.58984375	0.028155163	-19.997585	-0.069588691	0.0055930396
0.60449219	0.018459782	-19.997911	-0.069597468	0.0054745898
0.61914063	0.013753424	-19.997103	-0.069557942	0.0057762121
0.63378906	0.026725303	-19.997841	-0.069515586	0.0059087444
0.6484375	0.014672838	-19.997293	-0.069585502	0.0057089054
0.66308594	0.020598238	-19.997671	-0.069500759	0.0056850575
0.67773438	0.020362601	-19.996847	-0.069560088	0.0056107431
0.69238281	0.01242289	-19.997105	-0.069893315	0.0055777584
0.70703125	0.025540058	-19.996719	-0.069867879	0.0058117285
0.72167969	0.016851911	-19.99752	-0.069830708	0.0059057483
0.73632813	0.01187603	-19.997196	-0.06985689	0.0057482631
0.75097656	0.030773891	-19.996197	-0.069893882	0.0055196187
0.765625	0.012279048	-19.995274	-0.069882974	0.0056200624
0.78027344	0.015096531	-19.997377	-0.069832198	0.0059189
0.79492188	0.027809842	-19.995544	-0.069828212	0.00594133
0.80957031	0.012149314	-19.995291	-0.069921166	0.0056166099
0.82421875	0.021801647	-19.996408	-0.069891825	0.0054486701
0.83886719	0.020479098	-19.996437	-0.069835365	0.0057285875
0.85351563	0.014540078	-19.996233	-0.069883175	0.0058635371
0.86816406	0.026368748	-19.995764	-0.069883831	0.0058878348
0.8828125	0.012792706	-19.996408	-0.069867343	0.0057857363
0.89746094	0.017525326	-19.995815	-0.0698843	0.0056502079
0.91210938	0.030382667	-19.996284	-0.069936529	0.0055707968
0.92675781	0.0071359933	-19.996223	-0.069903195	0.0057452167
0.94140625	0.019959502	-19.996777	-0.069801047	0.0059417468
0.95605469	0.028180566	-19.995823	-0.069852918	0.0058372477
0.97070313	0.0098392153	-19.995321	-0.069887005	0.005519195
0.98535156	0.021581633	-19.995005	-0.06990616	0.0055406657
1	0.022422466	-19.99564	-0.069825023	0.0058726696
1.0146484	0.014430903	-19.994936	-0.069824226	0.0059758537
1.0292969	0.023860242	-19.994991	-0.069916613	0.0056888517
1.0439453	0.013245714	-19.994593	-0.069908358	0.0055010719
1.0585938	0.019900013	-19.994406	-0.069856115	0.0056700013
1.0732422	0.025637718	-19.995014	-0.069873996	0.0057553197
1.0878906	0.0088656228	-19.994802	-0.069844194	0.0057835905
1.1025391	0.023348387	-19.993387	-0.069862284	0.0058974023
1.1171875	0.025996916	-19.993559	-0.069886416	0.0056242207
1.1318359	0.0085199624	-19.993484	-0.069956049	0.0055090562
1.1464844	0.02386165	-19.993267	-0.069863133	0.0056906533
1.1611328	0.020219725	-19.992376	-0.069814265	0.005870895
1.1757813	0.015161724	-19.993752	-0.069868103	0.0058579659
1.1904297	0.025043104	-19.993261	-0.069911882	0.0055046668
1.2050781	0.014647517	-19.992811	-0.069942608	0.0054691285
1.2197266	0.020568483	-19.992626	-0.069844879	0.0058493773
1.234375	0.023674559	-19.992702	-0.069836512	0.0059503126
1.2490234	0.01044553	-19.991388	-0.069839247	0.0057480698
1.2636719	0.025928244	-19.991949	-0.069893353	0.0056088362
1.2783203	0.020921197	-19.991026	-0.06987457	0.005648525
1.2929688	0.0077185589	-19.990879	-0.069884054	0.0056304079
1.3076172	0.027048334	-19.990217	-0.069861554	0.0057824235
1.3222656	0.018602042	-19.990591	-0.069824368	0.0059084729
1.3369141	0.014039002	-19.989529	-0.069864973	0.0056536007
1.3515625	0.026507678	-19.990292	-0.069900922	0.0055137677
1.3662109	0.014575317	-19.989294	-0.069886968	0.0056689456
1.3808594	0.021803008	-19.989529	-0.069825299	0.0059069861
1.3955078	0.021759912	-19.988653	-0.069832437	0.005909916
1.4101563	0.012600331	-19.989336	-0.069895834	0.0055713914
1.4248047	0.028756134	-19.988806	-0.069903381	0.0054730885
1.4394531	0.016214654	-19.987724	-0.069524802	0.0057605552
1.4541016	0.011205034	-19.988211	-0.069855332	0.0058859931
1.46875	0.031049214	-19.987669	-0.069853902	0.0057656262
1.4833984	0.014048759	-19.987368	-0.069583148	0.0056673307
1.4980469	0.014841942	-19.987379	-0.069589831	0.0056132483
1.5126953	0.027161967	-19.987471	-0.069589801	0.0055990573
1.5273438	0.012165159	-19.988625	-0.069510214	0.0057975044
1.5419922	0.020503186	-19.987501	-0.069460839	0.0059293117
1.5566406	0.0204645	-19.987577	-0.069534287	0.0057408186
1.5712891	0.013248648	-19.986259	-0.06953945	0.0055306936
1.5859375	0.027936803	-19.986835	-0.06962198	0.0055465698
1.6005859	0.013561479	-19.986176	-0.069529638	0.0058856322
1.6152344	0.014643338	-19.986511	-0.069478743	0.0059676003
1.6298828	0.029514162	-19.985794	-0.069520935	0.0056687435
1.6445313	0.010912029	-19.987249	-0.069549151	0.0054511842
1.6591797	0.017696843	-19.986214	-0.069521286	0.0056904163
1.6738281	0.026554476	-19.986101	-0.069566824	0.0058464236
1.6884766	0.012669831	-19.985846	-0.069527604	0.0057730339
1.703125	0.022362966	-19.985472	-0.069520906	0.0058298623
1.7177734	0.019618649	-19.985577	-0.069556937	0.0056265737
1.7324219	0.015730238	-19.986967	-0.069570526	0.0055475244
1.7470703	0.025874227	-19.985874	-0.069585539	0.0057297857
