MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	15.019531	s	1/27/2022 10:04:05 AM
Time	ESH B Force	ESH B Displacement	Analog In 2	Analog In 1
s	kN	mm	V	V
0.033203125	0.38245726	10.001198	-0.023970334	0.0033077921
0.047851563	0.38885772	10.001457	-0.024080677	0.003074015
0.0625	0.37250766	10.000834	-0.023741558	0.0031374074
0.077148438	0.38753819	10.001279	-0.023618955	0.0034588357
0.091796875	0.38410091	10.001259	-0.023634903	0.0035022311
0.10644531	0.378804	10.00053	-0.023709601	0.0031917007
0.12109375	0.39517546	10.000527	-0.023749631	0.003025803
0.13574219	0.37929887	10.000948	-0.02365993	0.0032566269
0.15039063	0.38485011	10.001746	-0.023700051	0.0034095463
0.16503906	0.39246395	10.000988	-0.023666501	0.0033247017
0.1796875	0.37546912	10.001066	-0.023660677	0.0033366841
0.19433594	0.38920093	10.001292	-0.023691207	0.0031898611
0.20898438	0.39074057	10.000763	-0.023734553	0.0031047848
0.22363281	0.38125649	10.001163	-0.023689857	0.0032429618
0.23828125	0.39385945	10.001039	-0.02362909	0.0034474721
0.25292969	0.38344356	10.001101	-0.023681473	0.0033670356
0.26757813	0.38608223	10.000669	-0.02370392	0.0030417312
0.28222656	0.39420506	10.001065	-0.023723476	0.0030855676
0.296875	0.377242	10.0014	-0.023647245	0.00338405
0.31152344	0.38892263	10.00077	-0.023924902	0.0035155423
0.32617188	0.39087939	10.000442	-0.02367441	0.0032664561
0.34082031	0.37779701	10.001012	-0.023737874	0.0031191038
0.35546875	0.393336	10.001061	-0.02368959	0.0032166992
0.37011719	0.38835102	10.00081	-0.023719735	0.0032386763
0.38476563	0.37909678	10.001734	-0.023649586	0.0033653083
0.39941406	0.39337799	10.000656	-0.023691	0.0034620981
0.4140625	0.37936345	10.00146	-0.023745943	0.0032573005
0.42871094	0.38413158	10.000983	-0.023717461	0.0030656098
0.44335938	0.39591911	10.001009	-0.023711158	0.0031797483
0.45800781	0.37684417	10.001494	-0.023654133	0.0035254376
0.47265625	0.39137867	10.001491	-0.023686418	0.0034718872
0.48730469	0.39297566	10.000418	-0.023698673	0.0030984785
0.50195313	0.37935945	10.001395	-0.023718381	0.0030352047
0.51660156	0.3959665	10.000514	-0.023657521	0.0032602355
0.53125	0.38731006	10.00066	-0.023642519	0.0034690301
0.54589844	0.37918594	10.000717	-0.023717929	0.0033287141
0.56054688	0.39779368	10.001011	-0.023684196	0.0032257768
0.57519531	0.3808744	10.001053	-0.023685958	0.0031583847
0.58984375	0.38765153	10.001699	-0.02369619	0.0031357631
0.60449219	0.39540729	10.00094	-0.023700519	0.003366065
0.61914063	0.37452248	10.000387	-0.02362868	0.0034626657
0.63378906	0.38947961	10.001146	-0.023713548	0.0032982263
0.6484375	0.38388941	10.000791	-0.023772109	0.0030756029
0.66308594	0.37303028	10.000374	-0.023711313	0.0031588951
0.67773438	0.3870545	10.00036	-0.023645882	0.0034698357
0.69238281	0.37436214	10.000518	-0.023658883	0.0034799767
0.70703125	0.37480649	10.001225	-0.023725668	0.0031835688
0.72167969	0.38404399	9.9998522	-0.023732129	0.0030748206
0.73632813	0.36927733	9.9994917	-0.023652717	0.0032336081
0.75097656	0.37532383	9.9994402	-0.023659717	0.0033487976
0.765625	0.37360176	9.9997387	-0.023672005	0.0033175498
0.78027344	0.36181739	9.9998455	-0.023678876	0.0033593364
0.79492188	0.37265933	10.000016	-0.023703305	0.003188879
0.80957031	0.36679003	9.9995861	-0.024043007	0.0030621481
0.82421875	0.3619945	9.9997816	-0.024039362	0.0032966936
0.83886719	0.37475997	9.999712	-0.023944071	0.0034783557
0.85351563	0.36198124	9.999052	-0.024001533	0.003412372
0.86816406	0.36336425	9.9993038	-0.023730919	0.0030604769
0.8828125	0.36978373	9.9990053	-0.02375688	0.0031131022
0.89746094	0.35683358	9.9992495	-0.023662612	0.0033777601
0.91210938	0.36938035	9.9992895	-0.02362588	0.0035456812
0.92675781	0.36455268	9.9997654	-0.023665324	0.0032837531
0.94140625	0.35824892	9.9995861	-0.02370853	0.0031469797
0.95605469	0.37326381	9.9989548	-0.023712825	0.0032342905
0.97070313	0.36202058	9.999588	-0.02372141	0.0032437104
0.98535156	0.36149958	9.9992743	-0.023683876	0.0033323246
1	0.37202844	9.9994249	-0.023629116	0.0034220791
1.0146484	0.3556321	9.9992905	-0.023659775	0.0032669862
1.0292969	0.36537597	9.9992666	-0.023723664	0.0030992876
1.0439453	0.36831185	9.9988632	-0.023705391	0.0032143639
1.0585938	0.35597169	9.9993992	-0.023670956	0.0034872247
1.0732422	0.37066859	9.9992466	-0.023627838	0.0034455266
1.0878906	0.36336067	9.9993792	-0.02369171	0.0031651196
1.1025391	0.35794336	9.9991121	-0.02374012	0.0030611088
1.1171875	0.3731418	9.9989195	-0.023655687	0.0033026608
1.1318359	0.35926691	9.999649	-0.023660477	0.0034568901
1.1464844	0.35937583	9.9996719	-0.023651958	0.0033287671
1.1611328	0.37251556	9.9992075	-0.023987366	0.0032675571
1.1757813	0.35610664	9.9995832	-0.02367067	0.003183926
1.1904297	0.36875355	10.000214	-0.023742333	0.0031453872
1.2050781	0.3709048	9.9994993	-0.023644788	0.0033526761
1.2197266	0.35982579	9.9996004	-0.023618983	0.0034857676
1.234375	0.3729201	9.9991379	-0.023688886	0.0033375996
1.2490234	0.36636284	10.000281	-0.023794021	0.0031084975
1.2636719	0.36474034	10.000429	-0.023696834	0.0031165415
1.2783203	0.37771958	9.9996691	-0.023625212	0.0034310783
1.2929688	0.36484882	9.9998493	-0.023624098	0.0035098279
1.3076172	0.37208796	10.000479	-0.023732847	0.0032838306
1.3222656	0.38239425	10.000502	-0.02375328	0.0030967325
1.3369141	0.37073693	10.000135	-0.023705624	0.0032647727
1.3515625	0.38350612	10.000531	-0.023692209	0.0033106357
1.3662109	0.38105193	10.000949	-0.023697179	0.0033609341
1.3808594	0.37475392	10.001059	-0.023656141	0.0033900177
1.3955078	0.39007211	10.000879	-0.023690669	0.0032198667
1.4101563	0.3812905	10.001249	-0.023737628	0.0031035801
1.4248047	0.38493484	10.001617	-0.023715604	0.0032684635
1.4394531	0.39789948	10.00167	-0.023635065	0.0034809313
1.4541016	0.38151205	10.002077	-0.023682965	0.0033959912
1.46875	0.3960593	10.002016	-0.023706742	0.003100405
1.4833984	0.40187129	10.002312	-0.023753846	0.0030248212
1.4980469	0.38681206	10.001767	-0.023658518	0.003336254
1.5126953	0.40489259	10.002598	-0.023671465	0.0035049699
1.5273438	0.39586118	10.003139	-0.023729913	0.0032836529
1.5419922	0.39299732	10.002975	-0.023738738	0.0031793562
1.5566406	0.411798	10.002163	-0.023682164	0.0031857726
1.5712891	0.39542481	10.002717	-0.023733312	0.0032143586
1.5859375	0.40507972	10.003244	-0.023692865	0.0033528479
1.6005859	0.41588628	10.003452	-0.023665221	0.0034833788
1.6152344	0.39602104	10.003435	-0.023677258	0.003259433
1.6298828	0.41523859	10.003603	-0.023744609	0.0030869034
1.6445313	0.41195527	10.003419	-0.023701405	0.0032177866
1.6591797	0.40077037	10.003063	-0.023645258	0.0035049475
1.6738281	0.4219355	10.003484	-0.023634618	0.0034620846
1.6884766	0.40960467	10.00409	-0.023714036	0.0031750218
1.703125	0.41136095	10.003936	-0.023784101	0.0030237213
1.7177734	0.42864001	10.003839	-0.023653377	0.0032472061
1.7324219	0.40642563	10.004498	-0.023678657	0.0033880284
1.7470703	0.41760471	10.004484	-0.023618089	0.0033095856
1.7617188	0.42528203	10.004664	-0.023672163	0.0033394131
1.7763672	0.40641326	10.004481	-0.023676943	0.0031806161
1.7910156	0.4302963	10.004899	-0.023753114	0.0030909041
1.8056641	0.4242171	10.004519	-0.023670807	0.0033186572
1.8203125	0.4136025	10.004937	-0.023620613	0.0034662085
