MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	0.0234375	s	1/26/2022 1:38:24 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
0.0234375	0.26984718	1.999091	-0.002885499	-0.065858774

Data Acquisition						Time:	9.9482422	s	1/26/2022 1:38:34 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
9.9482422	0.34230134	2.0080655	-0.0026811417	-0.065527827

Data Acquisition						Time:	19.87793	s	1/26/2022 1:38:44 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
19.87793	0.39923149	2.0184145	-0.0030878321	-0.065553375

Data Acquisition						Time:	29.808594	s	1/26/2022 1:38:54 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
29.808594	0.46859011	2.0296006	-0.0027859674	-0.065277584

Data Acquisition						Time:	39.737305	s	1/26/2022 1:39:03 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
39.737305	0.55314547	2.0410035	-0.0027795876	-0.065252289

Data Acquisition						Time:	49.667969	s	1/26/2022 1:39:13 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
49.667969	0.68275058	2.052207	-0.0027340895	-0.064938568

Data Acquisition						Time:	59.59668	s	1/26/2022 1:39:23 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
59.59668	0.78647143	2.0595086	-0.0025801393	-0.064902268

Data Acquisition						Time:	69.526367	s	1/26/2022 1:39:33 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
69.526367	0.92250264	2.0676386	-0.0030716995	-0.06467282

Data Acquisition						Time:	79.456055	s	1/26/2022 1:39:43 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
79.456055	1.1260803	2.0776856	-0.0026155743	-0.064022705

Data Acquisition						Time:	89.385742	s	1/26/2022 1:39:53 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
89.385742	1.2856833	2.0882375	-0.0027904438	-0.063442871

Data Acquisition						Time:	99.314453	s	1/26/2022 1:40:03 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
99.314453	1.5260748	2.1001329	-0.0025076354	-0.063075714

Data Acquisition						Time:	109.24512	s	1/26/2022 1:40:13 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
109.24512	1.8168231	2.1110497	-0.0030498737	-0.062230676

Data Acquisition						Time:	119.17578	s	1/26/2022 1:40:23 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
119.17578	1.9457129	2.118083	-0.0026484698	-0.062144697

Data Acquisition						Time:	129.10645	s	1/26/2022 1:40:33 PM
Time	ESH B Force	ESH B Displacement	Analog In 1	Analog In 2
s	kN	mm	V	V
129.10547	2.2441535	2.1283376	-0.0029242446	-0.06128379
