MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	15.020508	s	1/26/2022 1:38:39 PM
Time	ESH B Force	ESH B Displacement	Analog In 2	Analog In 1
s	kN	mm	V	V
0.034179688	0.26900765	1.9987121	-0.065845594	-0.0029068612
0.048828125	0.27087379	1.9980593	-0.065848418	-0.0028615703
0.063476563	0.2710107	1.9994729	-0.065861195	-0.0028220939
0.078125	0.26575312	1.9989693	-0.065829836	-0.002697709
0.092773438	0.27007172	1.9985983	-0.06581784	-0.0025724599
0.10742188	0.2694191	1.9991584	-0.06584435	-0.0027672886
0.12207031	0.26594582	1.9989285	-0.065860219	-0.0029911529
0.13671875	0.26931724	1.9990762	-0.065898314	-0.0028604413
0.15136719	0.26977068	1.9995632	-0.065824896	-0.0025496995
0.16601563	0.26830918	1.9987955	-0.065819867	-0.0025499514
0.18066406	0.27235827	1.9992005	-0.065869085	-0.0028718074
0.1953125	0.26663825	1.9980083	-0.065860055	-0.0030038576
0.20996094	0.27204257	1.9992627	-0.065828152	-0.0027265884
0.22460938	0.27187485	1.9987291	-0.065819763	-0.0025261089
0.23925781	0.26794553	1.9985448	-0.065824702	-0.0027463937
0.25390625	0.2730152	1.9991865	-0.065822534	-0.0028214592
0.26855469	0.27200767	1.9990041	-0.065850735	-0.0028658016
0.28320313	0.27049851	1.9991971	-0.065865926	-0.0029670543
0.29785156	0.27525991	1.9986382	-0.065842867	-0.0027212938
0.3125	0.27235609	1.9993712	-0.06579797	-0.0025421223
0.32714844	0.27345252	1.9993488	-0.065848477	-0.0027309028
0.34179688	0.27594021	1.9996027	-0.065832399	-0.0029798429
0.35644531	0.27243248	1.999163	-0.065857306	-0.0028973597
0.37109375	0.27816287	1.9993685	-0.065774232	-0.002586829
0.38574219	0.2770645	1.9995738	-0.065782212	-0.002537309
0.40039063	0.27468744	1.9996134	-0.065823272	-0.0028918332
0.41503906	0.28039303	2.0001497	-0.06584239	-0.0030380466
0.4296875	0.27777633	1.9996556	-0.06577833	-0.0028222329
0.44433594	0.27742314	1.999622	-0.065804005	-0.0026429575
0.45898438	0.28120977	1.9999686	-0.065801762	-0.0026988038
0.47363281	0.28200859	2.0004098	-0.065820202	-0.0026856423
0.48828125	0.28250697	1.9996586	-0.065816298	-0.0028684996
0.50292969	0.28447616	2.0001588	-0.065836631	-0.0029539047
0.51757813	0.28200561	2.0006824	-0.065836877	-0.0027500419
0.53222656	0.28671512	2.0006688	-0.065773644	-0.0025715653
0.546875	0.28618458	2.0008092	-0.065842114	-0.0026871872
0.56152344	0.28484455	2.001034	-0.065864637	-0.002950049
0.57617188	0.29104757	2.0004716	-0.065845534	-0.002942621
0.59082031	0.28877482	2.0010238	-0.065764792	-0.002640612
0.60546875	0.28740141	2.0013814	-0.065782845	-0.0025250458
0.62011719	0.29487255	2.0009708	-0.065789782	-0.0027932036
0.63476563	0.29084763	2.0015807	-0.065848157	-0.0030111291
0.64941406	0.29356182	2.0009286	-0.065834813	-0.0028287112
0.6640625	0.29514414	2.0019364	-0.065797701	-0.0026979761
0.67871094	0.29225719	2.0017951	-0.065803811	-0.0027149811
0.69335938	0.29602462	2.0019276	-0.065780178	-0.0026098432
0.70800781	0.2929588	2.0020776	-0.065842599	-0.0028305815
